Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Temp DD,Temp TD,Temp DE,Temp TE,Thermocouple,Peso,Velociade (Km/h)
56627,10.39,1.10,-3.23,-0.09,-0.02,0.03,30.51,31.71,29.59,30.51,38.50,0.00
57795,10.72,1.41,-2.78,-0.10,-0.04,0.03,30.57,31.81,29.63,30.51,0.00,0.00
58964,10.43,1.29,-3.38,-0.21,0.12,-0.03,30.53,31.69,29.59,30.47,0.00,0.00
59628,10.47,1.40,-3.32,-0.04,0.00,0.03,30.65,31.57,29.57,30.47,0.00,0.00
60804,10.45,2.05,-2.84,-0.14,-0.12,0.05,30.79,31.85,29.63,30.71,0.00,0.00
61971,10.64,2.55,-2.38,-0.06,-0.00,0.01,31.13,32.97,29.63,30.97,0.00,0.00
63151,10.05,2.33,-2.90,0.00,0.07,-0.04,31.49,34.67,29.39,30.87,0.00,0.00
63815,9.98,2.26,-3.05,-0.17,0.00,0.06,32.09,35.39,29.51,31.11,0.00,0.00
64984,10.31,2.58,-2.33,-0.15,-0.00,-0.01,32.33,35.37,29.51,31.33,0.00,0.00
66159,10.13,2.18,-2.43,-0.06,-0.03,0.09,32.53,36.17,29.43,31.55,0.00,0.00
66824,9.98,1.75,-2.94,-0.09,0.01,0.07,32.89,39.41,29.55,31.91,0.00,0.00
67999,9.72,1.06,-3.72,-0.47,-0.13,0.09,33.65,38.19,29.43,31.89,0.00,0.00
69225,10.08,1.07,-3.41,-0.65,-0.08,0.20,33.47,38.13,29.51,32.11,0.00,0.00
69889,10.13,0.93,-3.38,-0.64,-0.05,0.14,34.09,39.75,29.43,32.21,0.00,0.00
71058,9.96,0.66,-3.93,-0.64,-0.05,0.19,33.99,39.71,29.51,32.81,0.00,0.00
72226,9.40,0.93,-4.34,-0.46,-0.07,0.17,34.61,38.67,29.51,32.97,0.00,0.00
72891,9.27,0.90,-4.65,-0.34,0.06,0.09,34.17,39.93,29.59,33.17,0.00,0.00
74058,9.24,1.33,-4.40,-0.19,-0.03,0.01,34.63,39.13,29.45,33.35,0.00,0.00
75234,9.34,1.29,-4.13,-0.21,0.07,-0.04,34.61,40.25,29.45,32.99,0.00,0.00
75898,9.22,1.05,-4.35,0.05,0.06,0.09,34.71,45.67,29.43,33.33,0.00,0.00
77067,9.38,1.02,-3.70,-0.12,0.01,-0.04,35.59,44.29,29.37,33.47,0.00,0.00
78235,9.95,0.49,-3.03,-0.03,0.02,0.03,35.67,42.43,29.39,34.13,0.00,0.00
78900,10.20,0.34,-2.98,-0.56,-0.10,0.12,35.85,44.33,29.39,33.69,0.00,0.00
80067,10.02,-0.34,-3.76,-0.96,-0.15,0.34,35.93,48.69,29.45,34.09,0.00,0.00
